source,Habitat,Meand13C,SDd13C,Meand15N,SDd15N,n
alphworm,coral,-10.95171989,1.487535066,6.390126066,0.878745062,30
alphworm,seagrass,-10.92859703,1.182519278,6.061763587,0.678107563,11
brittlestar,coral,-6.581597717,2.432542871,6.95022952,1.331833925,6
brittlestar,seagrass,-4.11697975,1.066350857,5.338157845,0.366377232,8
Clam,coral,-12.56243131,3.071306943,5.268817521,0.321057971,8
Clam,seagrass,-12.64083414,0.685307231,5.316397069,0.36004509,7
Crab,coral,-11.47455729,2.424983159,3.901679786,1.024719508,30
Crab,seagrass,-11.61750775,1.345459116,3.544107055,0.556118017,17
Fish,coral,-13.66143786,0.84368946,8.562988556,1.042557618,8
Fish,seagrass,-13.23441363,3.850887793,7.981944218,0.709914342,12
Snail,coral,-11.18088193,3.122916638,4.441705609,0.831061714,32
Snail,seagrass,-8.515698235,0.880088008,4.391120827,0.49514658,26
